1001176,可并发感染、败血症等。
1001187,并发症可能有伤口感染、软骨膜炎、拔管困难、继发性出血、颈部皮下气肿、纵隔气肿、声带麻痹、气管食管瘘、肺炎及纵隔炎等。
1001218,继发性出血、局部感染、肺部及颅内感染等，晚期症状多为外伤后遗症，如瘢痕狭窄，致发生呼吸及吞咽功能障碍或神经功能障碍，并影响面容。
1001253,可能有继发感染。
1001263,咽部异物如果长期滞留，可能引发扁桃体炎或者扁桃体周围炎;喉部异物可能会向下坠入食道或者气管内;异物留存于颈部组织内可以导致颈部感染，进而导致纵膈感染;部分质地较硬或者较为锐利的异物可能会发生移行，刺入喉室或者损伤喉返神经导致声音嘶哑;极特殊情况下可能会损伤到颈胸部大动脉，导致严重出血危及生命安全。
1001277,严重时导致呼吸困难。继发性出血、局部感染、肺部及颅内感染等，晚期症状多为外伤后遗症，如瘢痕狭窄，致发生呼吸及吞咽功能障碍或神经功能障碍，并影响面容。
1001285,继发性出血、局部感染、肺部及颅内感染等，晚期症状多为外伤后遗症，如瘢痕狭窄，致发生呼吸及吞咽功能障碍或神经功能障碍，并影响面容。早期的突出症状是出血，虽不一定伤及颈部主要大动脉，也可因血液流入气道引起窒息死亡，或因失血过多出现休克，随后出现组织水肿，血肿和动脉瘤引起的呼吸困难，还可能发生皮下气肿，纵隔气肿，吞咽困难和发音障碍等。喉软骨骨折后易有颈部皮下气肿；呼吸道阻塞，触诊有骨折征如甲状软骨喉结或环状软骨弓状突消失；喉腔内有粘膜撕裂。
1001316,慢性外耳道炎耳部经常会产生不适感和痒感，并有少量分泌物，听力将逐渐减退，可能导致耳聋。
1001393,1.视网膜色素性变。2.白内障。
1001404,皮肤擦伤和溃疡。
1001476,伴继发感染时可有耳痛、流脓。外耳道鳞癌常呈浸润性生长，可很快侵及其下的骨组织，并可累及面神经。外耳道腺样囊性癌塞外耳道可引起耳鸣、传导性听力减退。病程较长者，可伴有继发感染及耳漏，如伴发外耳道炎、中耳炎等。
1001480,如肿瘤向周围扩展，尤其在发生恶变的病例，可引起面瘫。
1001533,可发生无脑畸形，可伴有身体其他部位畸形，如腭裂、颈部脊柱裂、胸腔狭小、上下肢比例失调、胫骨和拇指缺如等。几乎都伴有母体羊水过多。与脊柱裂同时存在的畸形较常见的有脑积水、畸形足、颅骨腔隙、脑膜膨出、脑膨出、唇裂、先天性心脏病等。容易发生营养性溃疡、坏疽，肌肉挛缩，髋关节脱位，马蹄足畸形，常有大小便失禁。
1001577,暂无相关资料。
1001578,手脚冰凉会导致女性月经少、月经不调，甚至不孕;女性在经期、孕期和产期等特殊生理时期，由于体虚，更容易引起手脚冰凉。如果不及时加以预防，会导致精神不佳、身体畏寒。长期手脚冰凉在冬季还可能导致手脚冻伤。另外与风湿病、胃病等疾病有关。
1001660,暂无相关资料。
1006709,贫血、肠梗阻和肠扭转是本病常见并发症，亦为病人就诊的主要原因。贫血可因慢性失血造成，亦可因微血管溶血所致。
1008532,肝癌 暴发性肝衰竭多并发充血性心力衰竭、休克、肝外伤及心脏疾病。
1008656,II型糖尿病 高血脂1、长期劳作，缺乏休息，容易导致“过劳死”;2、积累太多脂肪在腹部，患上第二型糖尿病、高胆固醇、高血压、心血管疾病、关节炎、癌症等的概率将增加;3、从事轮班制工作的人，尤其是经常值夜班，其超重概率偏高，也容易患上糖尿病。因为体内新陈代谢和荷尔蒙分泌将出现紊乱现象，长期有损健康;4、三餐不定时者，一旦开始吃一顿，容易暴饮暴食而吃进太多热量，或是以猛吃高糖、高热量的零食来纾压，反而危害健康。
1008783,心理障碍 高血压 冠心病 便秘 失眠亚健康是一种临界状态，处于亚健康状态的人，虽然没有明确的疾病，但却出现精神活力和适应能力 的下降，如果这种状态不能得到及时的纠正，非常容易引起心身疾病。包括：心理障碍、胃肠道疾病、高血压、冠心病、癌症、性功能下降，倦怠、注意力不集中、心情烦躁、失眠、消化功能不好、食欲不振、腹胀、心慌、胸闷、便秘、腹泻、感觉很疲惫，甚至有欲死的感觉。然而体格检查并无器官上的问题，所以主要是功能性的问题。处于亚健康状态的人，除了疲劳和不适，不会有生命危险。但如果碰到高度刺激，如熬夜、发脾气等应激状态下，很容易出现猝死，就是“过劳死”。
1009154,煤炭工尘肺 棉尘肺 苯中毒 二硫化碳中毒 汞中毒不同的疾病有不同的并发症。
